00000000,none,0.0,0,Genesis
2efe80a6fff98d732b5d956326905ab8a37cccaed03f9569ce30497997f2ce30,00000000,10.0,1,1
8c210db789d10b501da3c2b758159e6d50095c7fcb4aa5efe57077693388d675,2efe80a6fff98d732b5d956326905ab8a37cccaed03f9569ce30497997f2ce30,20.0,2,0
2aea5a19c8990a9ac1d18ec7c5c2475ce3e737d986d36f53dc489a941f9dbfe4,8c210db789d10b501da3c2b758159e6d50095c7fcb4aa5efe57077693388d675,30.0,3,1
7b846c957ca6504b61e36173faf1e4ea74fd97e515d97478294bc2ee78513aad,2aea5a19c8990a9ac1d18ec7c5c2475ce3e737d986d36f53dc489a941f9dbfe4,40.0,4,0
e43c40fce452c2c32c6f2bced7355e7a19f3f37d0a9fa688e822727c42154bf0,7b846c957ca6504b61e36173faf1e4ea74fd97e515d97478294bc2ee78513aad,50.0,5,1
94e4247b076082c1546f5cbea24d8c08006e1dcafad185810bdd99539f45fa04,e43c40fce452c2c32c6f2bced7355e7a19f3f37d0a9fa688e822727c42154bf0,60.0,6,0
b14df4247edabdd8fa3c958e855d417a643474de1851cc4cd34cebbe35ccf701,94e4247b076082c1546f5cbea24d8c08006e1dcafad185810bdd99539f45fa04,70.0,7,1
c1fdc91912d730a3c3f6f7f39d94cf0ad6b3c89a4b8c009750dd783efa85f448,b14df4247edabdd8fa3c958e855d417a643474de1851cc4cd34cebbe35ccf701,80.0,8,0
0abdfa46a356164780a14d5c69c25c09723626ace9fb49788e80f6a9df0557f6,c1fdc91912d730a3c3f6f7f39d94cf0ad6b3c89a4b8c009750dd783efa85f448,90.0,9,1
39720e66e11e1955b29186c5ed7c528bb8dd242713b93e6d2c17dd83b776e844,0abdfa46a356164780a14d5c69c25c09723626ace9fb49788e80f6a9df0557f6,100.0,10,0
8ad075bfd8eb9582cad95bd74f24fa6328573a8549a44f63f731f630d1fce898,39720e66e11e1955b29186c5ed7c528bb8dd242713b93e6d2c17dd83b776e844,110.0,11,1
9f06a191a6e5c7ad28e747e9f80e3ca41cfb9ffcaefcf3a27440e10ce49218f8,8ad075bfd8eb9582cad95bd74f24fa6328573a8549a44f63f731f630d1fce898,120.0,12,0
f339c92bffff2949e97e1d6a27de222153695c77dc26087766360aed9a831072,9f06a191a6e5c7ad28e747e9f80e3ca41cfb9ffcaefcf3a27440e10ce49218f8,130.0,13,1
b6dfd63b6f00dc505bb0e623b5aa80bfe9b0034f410af76a4477475a0158dddd,f339c92bffff2949e97e1d6a27de222153695c77dc26087766360aed9a831072,140.0,14,0
d17252bc83e1d23a1cd22a87baee2181fc14c63a307ea4eac3017d1cae20724e,b6dfd63b6f00dc505bb0e623b5aa80bfe9b0034f410af76a4477475a0158dddd,150.0,15,1
e482f545546e34d6cccc6af34b6bb765bb7f7b61aec396313e09cf9e0cb4db7d,d17252bc83e1d23a1cd22a87baee2181fc14c63a307ea4eac3017d1cae20724e,160.0,16,0
e061d3d8cf6d52803ad905dd20259e53e1dde9400e1ac9ce1c073a863925446f,e482f545546e34d6cccc6af34b6bb765bb7f7b61aec396313e09cf9e0cb4db7d,170.0,17,1
d0132e46637a23e806a310076c21d4690167d56adccde9e63af460adbbb90404,e061d3d8cf6d52803ad905dd20259e53e1dde9400e1ac9ce1c073a863925446f,180.0,18,0
7b38e62200441728e49493eab37d6e105d6343882c07494a6f0cb7a1aafe0976,d0132e46637a23e806a310076c21d4690167d56adccde9e63af460adbbb90404,190.0,19,1
be8e8780c32317e1729ff63d840261f826d99bc799a7907e620ee89ade13d5c8,7b38e62200441728e49493eab37d6e105d6343882c07494a6f0cb7a1aafe0976,200.0,20,0
644a6331e6026b86fa84da31e1d703af9b383e1f7087dc3a758bb5c48d51da76,be8e8780c32317e1729ff63d840261f826d99bc799a7907e620ee89ade13d5c8,210.0,21,1
efdab7f498b47ecb7276f568391998f0ebb7f6c3cb2a63b128faad317024f217,644a6331e6026b86fa84da31e1d703af9b383e1f7087dc3a758bb5c48d51da76,220.0,22,0
d43c7d40f0a5173de1c6626d3dfee5ded9209b16d538e9e4453ff632ae19cf02,efdab7f498b47ecb7276f568391998f0ebb7f6c3cb2a63b128faad317024f217,230.0,23,1
2d9e9e7b29621e6ccb3651128d2f19877ad438c82be533b415cb742ac71ea6ed,d43c7d40f0a5173de1c6626d3dfee5ded9209b16d538e9e4453ff632ae19cf02,240.0,24,0
